SECTOR,GROUP,COMMODITY,STATISTIC,UNIT
ECONOMICS,EXPENSES,FEED,EXPENSE,$
ECONOMICS,EXPENSES,FEED,EXPENSE,$ / OPERATION
ECONOMICS,EXPENSES,FEED,EXPENSE,OPERATIONS
ECONOMICS,EXPENSES,FEED,EXPENSE,PCT OF OPERATING EXPENSES
ECONOMICS,EXPENSES,FEED,EXPENSE,PCT OF OPERATIONS
ECONOMICS,EXPENSES,FEED,EXPENSE,PCT OF PRODUCTION EXPENSES
ECONOMICS,PRICES PAID,FERTILIZER TOTALS,EXPENSE,$
ECONOMICS,PRICES PAID,FERTILIZER TOTALS,EXPENSE,$ / OPERATION
ECONOMICS,PRICES PAID,FERTILIZER TOTALS,EXPENSE,OPERATIONS
ECONOMICS,PRICES PAID,FERTILIZER TOTALS,EXPENSE,PCT OF OPERATING EXPENSES
ECONOMICS,PRICES PAID,FERTILIZER TOTALS,EXPENSE,PCT OF OPERATIONS
ECONOMICS,PRICES PAID,FERTILIZER TOTALS,EXPENSE,PCT OF PRODUCTION EXPENSES
ECONOMICS,PRICES PAID,LABOR,EXPENSE,$
ECONOMICS,PRICES PAID,LABOR,EXPENSE,$ / OPERATION
ECONOMICS,PRICES PAID,LABOR,EXPENSE,OPERATIONS
ECONOMICS,PRICES PAID,LABOR,EXPENSE,PCT OF OPERATING EXPENSES
ECONOMICS,PRICES PAID,LABOR,EXPENSE,PCT OF OPERATIONS
ECONOMICS,PRICES PAID,LABOR,EXPENSE,PCT OF PRODUCTION EXPENSES
ECONOMICS,PRICES PAID,LABOR,FAMILIES,NUMBER
ECONOMICS,PRICES PAID,LABOR,OPERATIONS,NUMBER
ECONOMICS,PRICES PAID,LABOR,TIME WORKED,HOURS / WEEK
ECONOMICS,PRICES PAID,LABOR,"TIME WORKED, BASE",HOURS / WEEK
ECONOMICS,PRICES PAID,LABOR,WAGE RATE,$ / HOUR
ECONOMICS,PRICES PAID,LABOR,"WAGE RATE, BASE",$ / BASE HOUR
ECONOMICS,PRICES PAID,LABOR,"WAGE RATE, BASE",$ / HOUR
ECONOMICS,PRICES PAID,LABOR,WORKERS,NUMBER
ECONOMICS,PRICES PAID,LABOR,WORKERS,OPERATIONS
ECONOMICS,PRICES PAID,LABOR,WORKERS,PCT OF CROP & ANIMAL WORKERS
ECONOMICS,PRICES PAID,LABOR,WORKERS,PCT OF HIRED & AG SERVICE WORKERS
ECONOMICS,PRICES PAID,LABOR,WORKERS,PCT OF HIRED WORKERS
ECONOMICS,PRICES PAID,LABOR,"WORKERS, AVG",NUMBER
ECONOMICS,PRICES PAID,LABOR,"WORKERS, AVG",NUMBER / OPERATION
ECONOMICS,PRICES PAID,LABOR,"WORKERS, PEAK",NUMBER / OPERATION
ECONOMICS,PRICES PAID,LABOR,"WORKERS, PEAK",OPERATIONS
ECONOMICS,EXPENSES,EXPENSE TOTALS,EXPENSE,$
ECONOMICS,EXPENSES,EXPENSE TOTALS,EXPENSE,$ / OPERATION
ECONOMICS,EXPENSES,EXPENSE TOTALS,EXPENSE,COUNT
ECONOMICS,EXPENSES,EXPENSE TOTALS,EXPENSE,OPERATIONS
ECONOMICS,EXPENSES,EXPENSE TOTALS,EXPENSE,PCT BY ECONOMIC CLASS
ECONOMICS,EXPENSES,EXPENSE TOTALS,EXPENSE,PCT OF OPERATING EXPENSES
ECONOMICS,EXPENSES,EXPENSE TOTALS,EXPENSE,PCT OF OPERATIONS
ECONOMICS,EXPENSES,EXPENSE TOTALS,EXPENSE,PCT OF PRODUCTION EXPENSES
ECONOMICS,EXPENSES,ANIMAL TOTALS,EXPENSE,$
ECONOMICS,EXPENSES,ANIMAL TOTALS,EXPENSE,$ / OPERATION
ECONOMICS,EXPENSES,ANIMAL TOTALS,EXPENSE,OPERATIONS
ECONOMICS,EXPENSES,ANIMAL TOTALS,EXPENSE,PCT OF OPERATING EXPENSES
ECONOMICS,EXPENSES,ANIMAL TOTALS,EXPENSE,PCT OF OPERATIONS
ECONOMICS,EXPENSES,ANIMAL TOTALS,EXPENSE,PCT OF PRODUCTION EXPENSES
ECONOMICS,EXPENSES,FERTILIZER & CHEMICAL TOTALS,EXPENSE,$
ECONOMICS,EXPENSES,FERTILIZER & CHEMICAL TOTALS,EXPENSE,OPERATIONS
ECONOMICS,PRICES PAID,SEEDS & PLANTS TOTALS,EXPENSE,$
ECONOMICS,PRICES PAID,SEEDS & PLANTS TOTALS,EXPENSE,$ / OPERATION
ECONOMICS,PRICES PAID,SEEDS & PLANTS TOTALS,EXPENSE,OPERATIONS
ECONOMICS,PRICES PAID,SEEDS & PLANTS TOTALS,EXPENSE,PCT OF OPERATING EXPENSES
ECONOMICS,PRICES PAID,SEEDS & PLANTS TOTALS,EXPENSE,PCT OF OPERATIONS
ECONOMICS,PRICES PAID,SEEDS & PLANTS TOTALS,EXPENSE,PCT OF PRODUCTION EXPENSES
ECONOMICS,EXPENSES,WATER,EXPENSE,$
ECONOMICS,EXPENSES,WATER,EXPENSE,OPERATIONS
ECONOMICS,PRICES PAID,RENT,EXPENSE,$
ECONOMICS,PRICES PAID,RENT,EXPENSE,$ / ACRE
ECONOMICS,PRICES PAID,RENT,EXPENSE,$ / OPERATION
ECONOMICS,PRICES PAID,RENT,EXPENSE,OPERATIONS
ECONOMICS,PRICES PAID,RENT,EXPENSE,PCT OF OPERATING EXPENSES
ECONOMICS,PRICES PAID,RENT,EXPENSE,PCT OF OPERATIONS
ECONOMICS,PRICES PAID,RENT,EXPENSE,PCT OF PRODUCTION EXPENSES
ECONOMICS,EXPENSES,TAXES,EXPENSE,$
ECONOMICS,EXPENSES,TAXES,EXPENSE,$ / OPERATION
ECONOMICS,EXPENSES,TAXES,EXPENSE,OPERATIONS
ECONOMICS,EXPENSES,TAXES,EXPENSE,PCT OF OPERATING EXPENSES
ECONOMICS,EXPENSES,TAXES,EXPENSE,PCT OF OPERATIONS
ECONOMICS,EXPENSES,TAXES,EXPENSE,PCT OF PRODUCTION EXPENSES
ECONOMICS,EXPENSES,INTEREST,EXPENSE,$
ECONOMICS,EXPENSES,INTEREST,EXPENSE,$ / OPERATION
ECONOMICS,EXPENSES,INTEREST,EXPENSE,OPERATIONS
ECONOMICS,EXPENSES,INTEREST,EXPENSE,PCT OF OPERATING EXPENSES
ECONOMICS,EXPENSES,INTEREST,EXPENSE,PCT OF OPERATIONS
ECONOMICS,EXPENSES,INTEREST,EXPENSE,PCT OF PRODUCTION EXPENSES
CROPS,FIELD CROPS,CORN,AREA GRAZED,ACRES
CROPS,FIELD CROPS,CORN,AREA HARVESTED,ACRES
CROPS,FIELD CROPS,CORN,AREA HARVESTED,CUERDAS
CROPS,FIELD CROPS,CORN,AREA HARVESTED,OPERATIONS
CROPS,FIELD CROPS,CORN,AREA HARVESTED,PCT BY METHOD
CROPS,FIELD CROPS,CORN,AREA HARVESTED,PCT OF OPERATIONS BY METHOD
CROPS,FIELD CROPS,CORN,AREA PLANTED,ACRES
CROPS,FIELD CROPS,CORN,AREA PLANTED,PCT BY SIZE GROUP
CROPS,FIELD CROPS,CORN,AREA PLANTED,PCT BY TYPE
CROPS,FIELD CROPS,CORN,"AREA PLANTED, NET",ACRES
CROPS,FIELD CROPS,CORN,AREA REMAINING TO BE HARVESTED,ACRES
CROPS,FIELD CROPS,CORN,AREA REMAINING TO BE PLANTED,ACRES
CROPS,FIELD CROPS,CORN,CONDITION,PCT EXCELLENT
CROPS,FIELD CROPS,CORN,CONDITION,PCT FAIR
CROPS,FIELD CROPS,CORN,CONDITION,PCT GOOD
CROPS,FIELD CROPS,CORN,CONDITION,PCT POOR
CROPS,FIELD CROPS,CORN,CONDITION,PCT VERY POOR
CROPS,FIELD CROPS,CORN,"CONDITION, 5 YEAR AVG",PCT EXCELLENT
CROPS,FIELD CROPS,CORN,"CONDITION, 5 YEAR AVG",PCT FAIR
CROPS,FIELD CROPS,CORN,"CONDITION, 5 YEAR AVG",PCT GOOD
CROPS,FIELD CROPS,CORN,"CONDITION, 5 YEAR AVG",PCT POOR
CROPS,FIELD CROPS,CORN,"CONDITION, 5 YEAR AVG",PCT VERY POOR
CROPS,FIELD CROPS,CORN,"CONDITION, PREVIOUS YEAR",PCT EXCELLENT
CROPS,FIELD CROPS,CORN,"CONDITION, PREVIOUS YEAR",PCT FAIR
CROPS,FIELD CROPS,CORN,"CONDITION, PREVIOUS YEAR",PCT GOOD
CROPS,FIELD CROPS,CORN,"CONDITION, PREVIOUS YEAR",PCT POOR
CROPS,FIELD CROPS,CORN,"CONDITION, PREVIOUS YEAR",PCT VERY POOR
CROPS,FIELD CROPS,CORN,EAR COUNT,EARS / ACRE
CROPS,FIELD CROPS,CORN,"HEIGHT, AVG",INCHES
CROPS,FIELD CROPS,CORN,"HEIGHT, AVG, 5 YEAR AVG",INCHES
CROPS,FIELD CROPS,CORN,"HEIGHT, AVG, PREVIOUS YEAR",INCHES
CROPS,FIELD CROPS,CORN,MOISTURE,PCT
CROPS,FIELD CROPS,CORN,"MOISTURE, 5 YEAR AVG",PCT
CROPS,FIELD CROPS,CORN,"MOISTURE, PREVIOUS YEAR",PCT
CROPS,FIELD CROPS,CORN,PLANT POPULATION,PLANTS / ACRE
CROPS,FIELD CROPS,CORN,PRICE REACTION,CENTS / BU
CROPS,FIELD CROPS,CORN,PRICE REACTION,REACTIONS SINCE 1984
CROPS,FIELD CROPS,CORN,PRICE REACTION,REACTIONS SINCE 1985
CROPS,FIELD CROPS,CORN,"PRICE REACTION, DECREASE",CENTS / BU
CROPS,FIELD CROPS,CORN,"PRICE REACTION, DECREASE",REACTIONS SINCE 1984
CROPS,FIELD CROPS,CORN,"PRICE REACTION, DECREASE",REACTIONS SINCE 1985
CROPS,FIELD CROPS,CORN,"PRICE REACTION, INCREASE",CENTS / BU
CROPS,FIELD CROPS,CORN,"PRICE REACTION, INCREASE",REACTIONS SINCE 1984
CROPS,FIELD CROPS,CORN,"PRICE REACTION, INCREASE",REACTIONS SINCE 1985
CROPS,FIELD CROPS,CORN,"PRICE REACTION, NO CHANGE",CENTS / BU
CROPS,FIELD CROPS,CORN,"PRICE REACTION, NO CHANGE",REACTIONS SINCE 1984
CROPS,FIELD CROPS,CORN,"PRICE REACTION, NO CHANGE",REACTIONS SINCE 1985
CROPS,FIELD CROPS,CORN,PRICE RECEIVED,$ / BU
CROPS,FIELD CROPS,CORN,PRICE RECEIVED,$ / TON
CROPS,FIELD CROPS,CORN,PRICE RECEIVED,PCT OF PARITY
CROPS,FIELD CROPS,CORN,PRICE RECEIVED AFTER REPORT,CENTS / BU
CROPS,FIELD CROPS,CORN,PRICE RECEIVED PRIOR TO CLOSING,CENTS / BU
CROPS,FIELD CROPS,CORN,"PRICE RECEIVED, 10 YEAR AVG",$ / BU
CROPS,FIELD CROPS,CORN,"PRICE RECEIVED, 10 YEAR AVG FOR PARITY PURPOSES",$ / BU
CROPS,FIELD CROPS,CORN,"PRICE RECEIVED, ADJUSTED BASE",$ / BU
CROPS,FIELD CROPS,CORN,"PRICE RECEIVED, PARITY",$ / BU
CROPS,FIELD CROPS,CORN,PROCESSED IN LAB,PCT
CROPS,FIELD CROPS,CORN,PRODUCTION,$
CROPS,FIELD CROPS,CORN,PRODUCTION,BU
CROPS,FIELD CROPS,CORN,PRODUCTION,CWT
CROPS,FIELD CROPS,CORN,PRODUCTION,LB
CROPS,FIELD CROPS,CORN,PRODUCTION,TONS
CROPS,FIELD CROPS,CORN,PROGRESS,PCT DENTED
CROPS,FIELD CROPS,CORN,PROGRESS,PCT DOUGH
CROPS,FIELD CROPS,CORN,PROGRESS,PCT EMERGED
CROPS,FIELD CROPS,CORN,PROGRESS,PCT HARVESTED
CROPS,FIELD CROPS,CORN,PROGRESS,PCT MATURE
CROPS,FIELD CROPS,CORN,PROGRESS,PCT MILK
CROPS,FIELD CROPS,CORN,PROGRESS,PCT PLANTED
CROPS,FIELD CROPS,CORN,PROGRESS,PCT SEEDBED PREPARED
CROPS,FIELD CROPS,CORN,PROGRESS,PCT SILKING
CROPS,FIELD CROPS,CORN,"PROGRESS, 5 YEAR AVG",PCT DENTED
CROPS,FIELD CROPS,CORN,"PROGRESS, 5 YEAR AVG",PCT DOUGH
CROPS,FIELD CROPS,CORN,"PROGRESS, 5 YEAR AVG",PCT EMERGED
CROPS,FIELD CROPS,CORN,"PROGRESS, 5 YEAR AVG",PCT HARVESTED
CROPS,FIELD CROPS,CORN,"PROGRESS, 5 YEAR AVG",PCT MATURE
CROPS,FIELD CROPS,CORN,"PROGRESS, 5 YEAR AVG",PCT MILK
CROPS,FIELD CROPS,CORN,"PROGRESS, 5 YEAR AVG",PCT PLANTED
CROPS,FIELD CROPS,CORN,"PROGRESS, 5 YEAR AVG",PCT SEEDBED PREPARED
CROPS,FIELD CROPS,CORN,"PROGRESS, 5 YEAR AVG",PCT SILKING
CROPS,FIELD CROPS,CORN,"PROGRESS, PREVIOUS YEAR",PCT DENTED
CROPS,FIELD CROPS,CORN,"PROGRESS, PREVIOUS YEAR",PCT DOUGH
CROPS,FIELD CROPS,CORN,"PROGRESS, PREVIOUS YEAR",PCT EMERGED
CROPS,FIELD CROPS,CORN,"PROGRESS, PREVIOUS YEAR",PCT HARVESTED
CROPS,FIELD CROPS,CORN,"PROGRESS, PREVIOUS YEAR",PCT MATURE
CROPS,FIELD CROPS,CORN,"PROGRESS, PREVIOUS YEAR",PCT MILK
CROPS,FIELD CROPS,CORN,"PROGRESS, PREVIOUS YEAR",PCT PLANTED
CROPS,FIELD CROPS,CORN,"PROGRESS, PREVIOUS YEAR",PCT SEEDBED PREPARED
CROPS,FIELD CROPS,CORN,"PROGRESS, PREVIOUS YEAR",PCT SILKING
CROPS,FIELD CROPS,CORN,RELATIVE WEIGHT,PCT OF COMMODITY TOTALS
CROPS,FIELD CROPS,CORN,ROW WIDTH,INCHES / ROW
CROPS,FIELD CROPS,CORN,SALES,$
CROPS,FIELD CROPS,CORN,SALES,BU
CROPS,FIELD CROPS,CORN,SALES,OPERATIONS
CROPS,FIELD CROPS,CORN,SALES,PCT OF FARM OPERATIONS
CROPS,FIELD CROPS,CORN,SALES,PCT OF FARM SALES
CROPS,FIELD CROPS,CORN,SALES,PCT OF MKTG YEAR
CROPS,FIELD CROPS,CORN,SALES,TONS
CROPS,FIELD CROPS,CORN,SALES IN CONVENTIONAL MARKETS,$
CROPS,FIELD CROPS,CORN,SALES IN CONVENTIONAL MARKETS,BU
CROPS,FIELD CROPS,CORN,SALES IN CONVENTIONAL MARKETS,OPERATIONS
CROPS,FIELD CROPS,CORN,SALES IN CONVENTIONAL MARKETS,TONS
CROPS,FIELD CROPS,CORN,SALES IN ORGANIC MARKETS,$
CROPS,FIELD CROPS,CORN,SALES IN ORGANIC MARKETS,BU
CROPS,FIELD CROPS,CORN,SALES IN ORGANIC MARKETS,OPERATIONS
CROPS,FIELD CROPS,CORN,SALES IN ORGANIC MARKETS,TONS
CROPS,FIELD CROPS,CORN,SAMPLES,NUMBER
CROPS,FIELD CROPS,CORN,STOCKS,BU
CROPS,FIELD CROPS,CORN,USAGE,BU
CROPS,FIELD CROPS,CORN,WATER APPLIED,ACRE FEET / ACRE
CROPS,FIELD CROPS,CORN,YIELD,BU / ACRE
CROPS,FIELD CROPS,CORN,YIELD,BU / NET PLANTED ACRE
CROPS,FIELD CROPS,CORN,YIELD,TONS / ACRE
CROPS,FIELD CROPS,SOYBEANS,AREA HARVESTED,ACRES
CROPS,FIELD CROPS,SOYBEANS,AREA HARVESTED,CUERDAS
CROPS,FIELD CROPS,SOYBEANS,AREA HARVESTED,OPERATIONS
CROPS,FIELD CROPS,SOYBEANS,AREA HARVESTED,PCT BY METHOD
CROPS,FIELD CROPS,SOYBEANS,AREA HARVESTED,PCT OF OPERATIONS BY METHOD
CROPS,FIELD CROPS,SOYBEANS,AREA PLANTED,ACRES
CROPS,FIELD CROPS,SOYBEANS,AREA PLANTED,PCT
CROPS,FIELD CROPS,SOYBEANS,AREA PLANTED,PCT BY SIZE GROUP
CROPS,FIELD CROPS,SOYBEANS,AREA PLANTED,PCT BY TYPE
CROPS,FIELD CROPS,SOYBEANS,"AREA PLANTED, NET",ACRES
CROPS,FIELD CROPS,SOYBEANS,AREA REMAINING TO BE HARVESTED,ACRES
CROPS,FIELD CROPS,SOYBEANS,AREA REMAINING TO BE PLANTED,ACRES
CROPS,FIELD CROPS,SOYBEANS,CONDITION,PCT EXCELLENT
CROPS,FIELD CROPS,SOYBEANS,CONDITION,PCT FAIR
CROPS,FIELD CROPS,SOYBEANS,CONDITION,PCT GOOD
CROPS,FIELD CROPS,SOYBEANS,CONDITION,PCT POOR
CROPS,FIELD CROPS,SOYBEANS,CONDITION,PCT VERY POOR
CROPS,FIELD CROPS,SOYBEANS,"CONDITION, 5 YEAR AVG",PCT EXCELLENT
CROPS,FIELD CROPS,SOYBEANS,"CONDITION, 5 YEAR AVG",PCT FAIR
CROPS,FIELD CROPS,SOYBEANS,"CONDITION, 5 YEAR AVG",PCT GOOD
CROPS,FIELD CROPS,SOYBEANS,"CONDITION, 5 YEAR AVG",PCT POOR
CROPS,FIELD CROPS,SOYBEANS,"CONDITION, 5 YEAR AVG",PCT VERY POOR
CROPS,FIELD CROPS,SOYBEANS,"CONDITION, PREVIOUS YEAR",PCT EXCELLENT
CROPS,FIELD CROPS,SOYBEANS,"CONDITION, PREVIOUS YEAR",PCT FAIR
CROPS,FIELD CROPS,SOYBEANS,"CONDITION, PREVIOUS YEAR",PCT GOOD
CROPS,FIELD CROPS,SOYBEANS,"CONDITION, PREVIOUS YEAR",PCT POOR
CROPS,FIELD CROPS,SOYBEANS,"CONDITION, PREVIOUS YEAR",PCT VERY POOR
CROPS,FIELD CROPS,SOYBEANS,CRUSHED,TONS
CROPS,FIELD CROPS,SOYBEANS,"HEIGHT, AVG",INCHES
CROPS,FIELD CROPS,SOYBEANS,"HEIGHT, AVG, 5 YEAR AVG",INCHES
CROPS,FIELD CROPS,SOYBEANS,"HEIGHT, AVG, PREVIOUS YEAR",INCHES
CROPS,FIELD CROPS,SOYBEANS,MOISTURE,PCT
CROPS,FIELD CROPS,SOYBEANS,"MOISTURE, 5 YEAR AVG",PCT
CROPS,FIELD CROPS,SOYBEANS,"MOISTURE, PREVIOUS YEAR",PCT
CROPS,FIELD CROPS,SOYBEANS,POD COUNT,PODS / 18 SQ FT
CROPS,FIELD CROPS,SOYBEANS,PRICE REACTION,CENTS / BU
CROPS,FIELD CROPS,SOYBEANS,PRICE REACTION,REACTIONS SINCE 1984
CROPS,FIELD CROPS,SOYBEANS,PRICE REACTION,REACTIONS SINCE 1985
CROPS,FIELD CROPS,SOYBEANS,"PRICE REACTION, DECREASE",CENTS / BU
CROPS,FIELD CROPS,SOYBEANS,"PRICE REACTION, DECREASE",REACTIONS SINCE 1984
CROPS,FIELD CROPS,SOYBEANS,"PRICE REACTION, DECREASE",REACTIONS SINCE 1985
CROPS,FIELD CROPS,SOYBEANS,"PRICE REACTION, INCREASE",CENTS / BU
CROPS,FIELD CROPS,SOYBEANS,"PRICE REACTION, INCREASE",REACTIONS SINCE 1984
CROPS,FIELD CROPS,SOYBEANS,"PRICE REACTION, INCREASE",REACTIONS SINCE 1985
CROPS,FIELD CROPS,SOYBEANS,"PRICE REACTION, NO CHANGE",CENTS / BU
CROPS,FIELD CROPS,SOYBEANS,"PRICE REACTION, NO CHANGE",REACTIONS SINCE 1984
CROPS,FIELD CROPS,SOYBEANS,"PRICE REACTION, NO CHANGE",REACTIONS SINCE 1985
CROPS,FIELD CROPS,SOYBEANS,PRICE RECEIVED,$ / BU
CROPS,FIELD CROPS,SOYBEANS,PRICE RECEIVED,PCT OF PARITY
CROPS,FIELD CROPS,SOYBEANS,PRICE RECEIVED AFTER REPORT,CENTS / BU
CROPS,FIELD CROPS,SOYBEANS,PRICE RECEIVED PRIOR TO CLOSING,CENTS / BU
CROPS,FIELD CROPS,SOYBEANS,"PRICE RECEIVED, 10 YEAR AVG",$ / BU
CROPS,FIELD CROPS,SOYBEANS,"PRICE RECEIVED, 10 YEAR AVG FOR PARITY PURPOSES",$ / BU
CROPS,FIELD CROPS,SOYBEANS,"PRICE RECEIVED, ADJUSTED BASE",$ / BU
CROPS,FIELD CROPS,SOYBEANS,"PRICE RECEIVED, PARITY",$ / BU
CROPS,FIELD CROPS,SOYBEANS,PROCESSED IN LAB,PCT
CROPS,FIELD CROPS,SOYBEANS,PRODUCTION,$
CROPS,FIELD CROPS,SOYBEANS,PRODUCTION,BU
CROPS,FIELD CROPS,SOYBEANS,PRODUCTION,CWT
CROPS,FIELD CROPS,SOYBEANS,PROGRESS,PCT BLOOMING
CROPS,FIELD CROPS,SOYBEANS,PROGRESS,PCT COLORING
CROPS,FIELD CROPS,SOYBEANS,PROGRESS,PCT DROPPING LEAVES
CROPS,FIELD CROPS,SOYBEANS,PROGRESS,PCT EMERGED
CROPS,FIELD CROPS,SOYBEANS,PROGRESS,PCT FULLY PODDED
CROPS,FIELD CROPS,SOYBEANS,PROGRESS,PCT HARVESTED
CROPS,FIELD CROPS,SOYBEANS,PROGRESS,PCT MATURE
CROPS,FIELD CROPS,SOYBEANS,PROGRESS,PCT PLANTED
CROPS,FIELD CROPS,SOYBEANS,PROGRESS,PCT SEEDBED PREPARED
CROPS,FIELD CROPS,SOYBEANS,PROGRESS,PCT SETTING PODS
CROPS,FIELD CROPS,SOYBEANS,"PROGRESS, 5 YEAR AVG",PCT BLOOMING
CROPS,FIELD CROPS,SOYBEANS,"PROGRESS, 5 YEAR AVG",PCT COLORING
CROPS,FIELD CROPS,SOYBEANS,"PROGRESS, 5 YEAR AVG",PCT DROPPING LEAVES
CROPS,FIELD CROPS,SOYBEANS,"PROGRESS, 5 YEAR AVG",PCT EMERGED
CROPS,FIELD CROPS,SOYBEANS,"PROGRESS, 5 YEAR AVG",PCT FULLY PODDED
CROPS,FIELD CROPS,SOYBEANS,"PROGRESS, 5 YEAR AVG",PCT HARVESTED
CROPS,FIELD CROPS,SOYBEANS,"PROGRESS, 5 YEAR AVG",PCT MATURE
CROPS,FIELD CROPS,SOYBEANS,"PROGRESS, 5 YEAR AVG",PCT PLANTED
CROPS,FIELD CROPS,SOYBEANS,"PROGRESS, 5 YEAR AVG",PCT SEEDBED PREPARED
CROPS,FIELD CROPS,SOYBEANS,"PROGRESS, 5 YEAR AVG",PCT SETTING PODS
CROPS,FIELD CROPS,SOYBEANS,"PROGRESS, PREVIOUS YEAR",PCT BLOOMING
CROPS,FIELD CROPS,SOYBEANS,"PROGRESS, PREVIOUS YEAR",PCT COLORING
CROPS,FIELD CROPS,SOYBEANS,"PROGRESS, PREVIOUS YEAR",PCT DROPPING LEAVES
CROPS,FIELD CROPS,SOYBEANS,"PROGRESS, PREVIOUS YEAR",PCT EMERGED
CROPS,FIELD CROPS,SOYBEANS,"PROGRESS, PREVIOUS YEAR",PCT FULLY PODDED
